i_time,local_time,Stand 13_Torque,Stand 14_Torque,Stand 15_Torque,Stand 16_Torque,Stand 17_Torque,Stand 13_LineSpeed,Stand 13_RPM,Stand 14_LineSpeed,Stand 14_RPM,Stand 15_LineSpeed,Stand 15_RPM,Stand 16_LineSpeed,Stand 16_RPM,Stand 17_LineSpeed,Stand 17_RPM,Stand 18_LineSpeed,Stand 18_RPM,Loop_Height Stand 12-13,Loop_Height Stand 13-14,Loop_Height Stand 14-15,Loop_HeightStand 15-16,Loop_Height Stand 16-17,Loop_Height Stand 17-18,Stand 13 downstream looper lifting command,Stand 14 downstream looper lifting command,Stand 15 downstream looper lifting command,Stand 16 downstream looper lifting command,Stand 17 downstream looper lifting command,Ghost Rolling,STAND_13_ACT_ELONGATION,STAND_14_ACT_ELONGATION,STAND_15_ACT_ELONGATION,STAND_16_ACT_ELONGATION,STAND_17_ACT_ELONGATION,STAND_18_ACT_ELONGATION,Stand 16 current,Stand 18 current,Master speed percentage,Stand 13 current,Stand 14 current,Stand 15 current,Stand 17 current
2024-05-28 07:20:19,2024-05-28 12:50:19,7.627451,4.9411764,1.4019607,10.754902,22.382353,1038.3529,1703.2941,1108.7255,1567.7157,1266.7255,1394.5588,1425.7745,1458.7059,1719.3137,1267.5785,2016.304,1311.3823,125.39576,125.85888,125.42108,120.18686,76.41157,42.369713,f,f,f,f,f,f,1.128,1.081,1.152,1.138,1.206,1.173,278.7451,613.63727,89,283.7353,350.56863,284.89215,640.91174
2024-05-28 07:20:20,2024-05-28 12:50:20,1.0571429,0.53333336,6.4666667,7.8095236,4.7619047,1048.5048,1719.9048,1133.2,1602.1428,1306.2095,1438.0286,1463.6285,1497.3524,1737.8572,1281.2,2034.4476,1323.1619,125.37013,125.85915,125.41858,126.51607,118.82911,103.28926,f,f,f,f,f,f,1.128,1.081,1.152,1.138,1.206,1.173,258.1619,452.49524,89,212.2,289.69525,292.8381,451.21906
2024-05-28 07:20:21,2024-05-28 12:50:21,1.1666666,0.5,1.254902,2.8823528,1.754902,1048.3726,1719.7255,1133.1666,1602.098,1308.4608,1440.5294,1486.5197,1520.7255,1766.2646,1302.1372,2071.5981,1347.3235,125.38669,125.8597,125.42136,126.51954,118.827156,103.29033,f,f,f,f,f,f,1.128,1.081,1.152,1.138,1.206,1.173,220.65686,419.07843,89,211.93137,287.01962,256.5098,422.5098
2024-05-28 07:20:22,2024-05-28 12:50:22,1.1428572,0.4,1.1904762,2.8761904,1.9047619,1048.4572,1719.8381,1133.5333,1602.6857,1306.981,1438.8286,1486.4667,1520.8,1766.219,1302.1428,2068.8381,1345.6476,125.38179,125.85915,125.41937,126.51811,118.8281,103.28972,f,f,f,f,f,f,1.128,1.081,1.152,1.138,1.206,1.173,220.33333,419.74286,89,212.51428,288.4762,258.93332,424.26666
2024-05-28 07:20:23,2024-05-28 12:50:23,1.0388349,0.41747573,1.2621359,2.9805825,1.9320388,1048.4855,1719.8446,1133.4951,1602.7573,1306.7087,1438.5339,1486.5049,1520.6893,1766.2136,1302.1359,2067.835,1344.9806,125.38194,125.85915,125.41815,126.51932,118.83021,103.290436,f,f,f,f,f,f,1.128,1.081,1.152,1.138,1.206,1.173,220.69904,420.58252,89,212.2233,288.3398,257.07767,425.64078
2024-05-28 07:20:24,2024-05-28 12:50:24,1.2079208,0.46534654,1.2871287,2.940594,1.8217822,1048.495,1719.8119,1133.4653,1602.6534,1306.5544,1438.3564,1486.4851,1520.7129,1766.2278,1302.1782,2067.406,1344.604,125.38236,125.85999,125.41992,126.51498,118.82717,103.28927,f,f,f,f,f,f,1.128,1.081,1.152,1.138,1.206,1.173,221.44554,422.1881,89,213.45544,288.38614,258.61386,425.82178
2024-05-28 07:20:25,2024-05-28 12:50:25,1.0769231,0.53846157,1.2211539,2.9134614,1.8653846,1048.4807,1719.7693,1133.75,1603.0481,1305.9038,1437.6731,1486.3654,1520.7307,1766.2693,1302.1154,2067.1155,1344.4615,125.380424,125.85915,125.41904,126.516,118.828636,103.289375,f,f,f,f,f,f,1.128,1.081,1.152,1.138,1.206,1.173,221.58653,421.2596,89,214.02884,290.80768,260.06732,427.29807
2024-05-28 07:20:26,2024-05-28 12:50:26,1.2254902,0.49019608,1.4215686,2.9313726,1.9411764,1048.4412,1719.8334,1133.7255,1602.9412,1305.7354,1437.5,1486.4902,1520.6274,1766.0294,1301.9117,2067.147,1344.5,125.394424,125.85915,125.42108,126.51506,118.82741,103.28844,f,f,f,f,f,f,1.128,1.081,1.152,1.138,1.206,1.173,221.13725,420.40195,89,211.78432,287.7157,257.59805,422.64706
2024-05-28 07:20:27,2024-05-28 12:50:27,1.1904762,0.4952381,1.3238095,2.9238095,1.9142857,1048.5048,1719.8572,1133.2572,1602.381,1306.0857,1437.8381,1486.4762,1520.7333,1766.1619,1302.1047,2067.1047,1344.4286,125.39709,125.86023,125.42017,126.51479,118.82886,103.29293,f,f,f,f,f,f,1.128,1.081,1.152,1.138,1.206,1.173,220.3238,420.61905,89,212.61905,289.42856,259.6,427.53333
2024-05-28 07:20:28,2024-05-28 12:50:28,1.1747572,0.4854369,1.1553398,2.8737864,1.9902912,1048.4271,1719.6505,1133.2039,1602.2913,1306.0388,1437.8446,1486.3689,1520.6796,1766.1554,1302.0098,2067.165,1344.3495,125.38009,125.8597,125.42005,126.514885,118.82713,103.29465,f,f,f,f,f,f,1.128,1.081,1.152,1.138,1.206,1.173,220.92233,421.4563,89,213.14563,289.5534,258.15533,425.0194
